url,date_on_archive_utc_iso
https://kyivindependent.com/not-even-capable-of-defeating-ukraine-orban-questions-russias-ability-to-attack-nato/,2025-06-09T17:08:00+00:00
https://kyivindependent.com/what-uk-strategic-defense-review-means-for-ukraine/,2025-06-09T16:47:41+00:00
https://kyivindependent.com/russia-sentences-2-azov-fighters-to-over-20-years-in-prison/,2025-06-09T16:32:20+00:00
https://kyivindependent.com/key-to-russias-potential-defeat-lies-in-its-economy/,2025-06-09T14:40:31+00:00
https://kyivindependent.com/ex-ukrainian-military-official-suspected-of-290-000-in-illicit-enrichment/,2025-06-09T14:40:00+00:00
https://kyivindependent.com/ukraine-calendar-events-to-look-out-for-this-week/,2025-06-09T14:33:00+00:00
https://kyivindependent.com/ukraine-shoots-down-nearly-500-drones-missiles-in-russian-record-strike-air-force-says/,2025-06-09T14:23:00+00:00
https://kyivindependent.com/exiled-russian-scholar-on-why-dugin-is-no-philosopher-and-russia-no-defender-of-traditional-values/,2025-06-09T13:49:05+00:00
https://kyivindependent.com/ukraine-begins-first-stage-of-prisoner-swap-under-istanbul-agreement/,2025-06-09T12:42:00+00:00
https://kyivindependent.com/russia-claims-offensive-in-dnipropetrovsk-aimed-at-creating-buffer-zone-ukraine-denies-reports-of-incursion/,2025-06-09T11:05:47+00:00
https://kyivindependent.com/natos-rutte-calls-for-400-increase-in-air-and-missile-defenses-to-counter-russia-bloomberg-reports/,2025-06-09T10:30:40+00:00
https://kyivindependent.com/drone-attack-ignites-blaze-in-russias-chuvashia-republic-media-reports/,2025-06-09T07:28:00+00:00
https://kyivindependent.com/ukraine-says-strike-damaged-russian-mig-31-su-fighter-jet-at-airfield-used-to-launch-kinzhal-missiles/,2025-06-09T07:27:09+00:00
https://kyivindependent.com/putin-approves-new-naval-strategy-as-russia-seeks-to-restore-maritime-power-reuters-reports/,2025-06-09T07:04:39+00:00
https://kyivindependent.com/general-staff-russia-has-lost-997-120-troops-in-ukraine-since-feb-24-2022/,2025-06-09T05:25:02+00:00
https://kyivindependent.com/russian-missiles-target-western-ukraine-in-latest-mass-attack/,2025-06-09T04:41:00+00:00
https://kyivindependent.com/ukrainian-boxer-usyk-invites-trump-to-his-home-to-see-russias-war-firsthand-bbc-reports/,2025-06-09T03:40:50+00:00
https://kyivindependent.com/ukrainian-opera-tenor-and-volunteer-killed-in-sumy-oblast/,2025-06-08T23:34:00+00:00
https://kyivindependent.com/renault-to-begin-drone-production-in-ukraine-media-reports/,2025-06-08T22:53:00+00:00
https://kyivindependent.com/no-grounds-for-evacuation-from-sumy-governor-says-amid-russian-offensive-into-region/,2025-06-08T19:54:00+00:00
https://kyivindependent.com/ukraine-war-latest-us-expects-russias-retaliation-for-operation-spiderweb-to-continue-soon-ukraine-denies-russian-troop-presence-in-dnipropetrovsk-oblast-describes-situation-as-tense/,2025-06-08T19:10:00+00:00
https://kyivindependent.com/slovakia-will-veto-russian-sanctions-if-they-harm-national-interests-fico-says/,2025-06-08T18:34:10+00:00
https://kyivindependent.com/ukraine-refutes-russias-claims-of-disrupting-pow-exchange/,2025-06-08T17:38:00+00:00
https://kyivindependent.com/germany-plans-expansion-of-bomb-shelters-amid-growing-russian-threats/,2025-06-08T17:21:49+00:00
https://kyivindependent.com/ukrainian-military-says-tense-situation-as-russia-continues-push-toward-dnipropetrovsk-oblast/,2025-06-08T16:08:00+00:00
https://kyivindependent.com/trump-redirects-20-000-anti-drone-missiles-meant-for-ukraine-zelensky-confirms/,2025-06-08T15:14:00+00:00
https://kyivindependent.com/exchange-of-fallen-soldiers-bodies-expected-next-week-budanov-says/,2025-06-08T14:14:46+00:00
https://kyivindependent.com/elon-musks-father-attends-pro-kremlin-event-in-russia-hosted-by-far-right-ideologue/,2025-06-08T12:53:05+00:00
https://kyivindependent.com/us-believes-russia-has-not-fully-responded-to-ukraines-operation-spiderweb-reuters-reports/,2025-06-08T11:36:41+00:00
https://kyivindependent.com/ukrainian-woman-daughter-found-murdered-in-belgium/,2025-06-08T11:03:00+00:00
https://kyivindependent.com/9-killed-44-injured-in-russian-attacks-on-ukraine-over-past-day/,2025-06-08T10:08:16+00:00
https://kyivindependent.com/russia-captures-village-of-loknia-in-sumy-oblast-deepstate-reports/,2025-06-08T09:06:13+00:00
https://kyivindependent.com/ukrainian-drone-attacks-force-airport-shutdowns-near-moscow/,2025-06-08T07:59:26+00:00
https://kyivindependent.com/general-staff-russia-has-lost-996-150-troops-in-ukraine-since-feb-24-2022/,2025-06-08T07:48:07+00:00
https://kyivindependent.com/finnish-pm-criticizes-reported-attempts-by-trump-to-weaken-russia-sanctions-bill/,2025-06-08T04:53:57+00:00
https://kyivindependent.com/russian-agents-who-targeted-dnipro-prosecutor-with-car-bomb-detained/,2025-06-08T03:50:00+00:00
https://kyivindependent.com/kyiv-pride-drone-charity-event-takes-place-faces-counterprotest/,2025-06-08T02:32:00+00:00
https://kyivindependent.com/chemical-plant-in-russias-tula-oblast-reportedly-hit-2nd-time-in-drone-attack/,2025-06-08T01:03:00+00:00
https://kyivindependent.com/i-am-against-ukraines-entry-into-the-european-union-polish-president-elect-nawrocki-says/,2025-06-07T22:17:09+00:00
https://kyivindependent.com/russia-bombs-kharkiv-day-after-deadly-overnight-attack-killing-1-injuring-18/,2025-06-07T20:20:00+00:00
https://kyivindependent.com/ukraine-needs-urgent-us-air-defense-support-zelensky-says-following-deadly-russian-strikes/,2025-06-07T19:29:00+00:00
https://kyivindependent.com/ukrainian-drone-strikes-russian-tu-22m3-bomber-new-footage-of-operation-spiderweb-from-sbu/,2025-06-07T15:48:00+00:00
https://kyivindependent.com/france-to-produce-drones-in-ukraine-lecornu-announces/,2025-06-07T15:39:05+00:00
https://kyivindependent.com/wondering-where-to-start-with-dostoevsky-try-his-ukrainian-contemporaries-instead/,2025-06-07T15:14:00+00:00
https://kyivindependent.com/canada-pledges-25-5-million-in-military-aid-for-ukraine-including-armored-vehicles/,2025-06-07T14:31:00+00:00
https://kyivindependent.com/six-people-likely-trapped-under-the-rubble-of-enterprise-hit-by-russia-in-kharkiv/,2025-06-07T13:34:00+00:00
https://kyivindependent.com/zelensky-refutes-trump-comparing-russian-war-to-children-fighting-calls-putin-murderer/,2025-06-07T12:13:02+00:00
https://kyivindependent.com/zelensky-ukraine-intended-to-use-only-domestic-weapons-in-operation-spiderweb/,2025-06-07T10:59:00+00:00
https://kyivindependent.com/air-force-ukraine-downs-russian-su-35-fighter-jet/,2025-06-07T09:13:00+00:00
https://kyivindependent.com/russia-hits-ukraine-with-206-drones-9-missiles-overnight-air-force-says/,2025-06-07T09:05:24+00:00
https://kyivindependent.com/baltic-states-issue-joint-statement-backing-ukraines-eu-nato-membership/,2025-06-07T07:48:00+00:00
https://kyivindependent.com/general-staff-russia-has-lost-995-030-troops-in-ukraine-since-feb-24-2022/,2025-06-07T07:16:11+00:00
https://kyivindependent.com/russian-attack-on-kharkiv-kill-1-injure-13/,2025-06-07T04:18:00+00:00
https://kyivindependent.com/fires-reported-following-russias-drone-attack-on-kyiv/,2025-06-07T03:36:00+00:00
https://kyivindependent.com/wagner-group-announces-withdrawal-from-mali/,2025-06-07T02:19:48+00:00
https://kyivindependent.com/operation-spiderweb-gave-putin-a-reason-to-bomb-the-hell-out-of-them-trump-says-following-large-scale-attacks-on-ukrainian-cities/,2025-06-07T00:41:09+00:00
https://kyivindependent.com/ukraine-hopes-for-trump-zelensky-meeting-in-canada-during-g7/,2025-06-06T22:47:00+00:00
https://kyivindependent.com/trump-reluctant-to-confront-china-over-support-for-russias-war-against-ukraine-bloomberg-reports/,2025-06-06T20:11:00+00:00
https://kyivindependent.com/ukraine-war-latest-russia-hits-ukraine-with-large-scale-attack-days-after-operation-spiderweb-ukraine-targets-russian-air-bases-in-preemptive-strike/,2025-06-06T18:40:00+00:00
https://kyivindependent.com/trump-quietly-pressuring-senate-to-weaken-russia-sanctions-wsj-reports/,2025-06-06T17:59:20+00:00
